text,label
என் மேல் யாருக்கும் அக்கறை இல்லை என்று தோன்றுகிறது.,negative
காதலியின் புன்னகை என் நாளை அர்த்தமுள்ளதாக்கும்.,positive
அரசு பள்ளிகளில் கணினி ஆய்வக திட்டம் விரிவாக்கப்பட்டது.,real
உலகம் என்னை மறந்துவிட்டது.,negative
வீட்டு சமையல் எப்போதும் ஹோட்டல் சாப்பாட்டை விட சுவையானது.,positive
ஒரு நல்ல நண்பன் இருந்தால் எதுவும் சாத்தியம்.,positive
"ஏழைகளுக்கு நீதி கிடைப்பதில்லை, பணக்காரர்களுக்கு மட்டுமே உரிமைகள்.",negative
மக்கள் பேருந்து பள்ளி நேரத்தில் வருவதில்லை.,negative
இந்த சமூகம் என்னை விலக்கியது.,negative
தனிமையில் யாரும் நண்பன் இல்லை.,negative
என் குடும்பம் சுமையை பகிர்ந்துகொள்வதில்லை.,negative
வேப்பிலை சாறு குடித்தால் புற்றுநோய் குணமாகும்.,fake
குறிப்பிட்ட உணவை சாப்பிட்டால் புத்தி கூர்மையாகும் என்று போலி ஆய்வு.,fake
மனசில் ஆறுதல் இல்லாத நாளாக கடந்தது.,negative
புகழ்பெற்ற இயக்குனர் ஒரு குறிப்பிட்ட இயக்கத்திற்கு நிதி கொடுத்தார்.,fake
என் தமிழ் மொழியில் பெருமை கொள்கிறேன்.,positive
ஒரு வருட கடின உழைப்புக்கு பரிசாக பதவி உயர்வு கிடைத்தது.,positive
என் கடின உழைப்பு இறுதியில் பலனளித்தது.,positive
இந்த மண்ணை நாக்கால் தொட்டால் வியாதி குணமாகும்.,fake
புதிய நெடுஞ்சாலை இணைப்பால் பயண நேரம் பாதியாக குறைந்தது.,real
ஒவ்வொரு நாளும் ஒரு நரகமாக உணர்கிறேன்.,negative
நேர்மையாக வாழ்வதே உண்மையான வாழ்க்கை.,positive
நிலத்தடி நீர் வற்றிவிட்டது.,negative
ஒரு குறிப்பிட்ட நட்சத்திரத்தில் பிறந்தவர்கள் வெளியே போகாதீர்கள்.,fake
இயற்கையுடன் இணைந்திருப்பது உள்ளத்தை குளிர்விக்கும்.,positive
அம்மா செய்த சாம்பார் சாப்பிட்டால் சோர்வு மறந்துவிடும்.,positive
