text,label
குவளாலம்பூர் மழை காரணமாக விமான சேவை பாதிக்கப்பட்டது.,real
கடல் மாசு மீனவர்களை பாதிக்கிறது.,negative
நாட்டு வருமான வளர்ச்சி விகிதம் 6.5% என்று கணக்கிடப்பட்டது.,real
இந்த செய்தியை பகிர்ந்தால் உங்களுக்கு திடீர் அதிர்ஷ்டம் வரும்.,fake
மனமும் உடலும் சோர்ந்திருக்கின்றன.,negative
சரக்கு வண்டி இரவு நேரத்தில் ஓட்டி தூக்கம் கெடுக்கிறது.,negative
என் குடும்பம் ஒன்றாக சேர்ந்து சாப்பிட்டோம்.,positive
குழந்தை இல்லாதவர்களுக்கு இந்த மருந்து 100% பலனளிக்கும்.,fake
என் வாழ்க்கை பயணம் அர்த்தமுள்ளதாக இருக்கிறது.,positive
வன்முறை செய்தி பார்க்கும்போது மனம் கனக்கிறது.,negative
அரசு ஆவண மயமாக்கல் திட்டம் முன்னேற்றம் கண்டது.,real
"தினமும் இதே பிரச்சினை, தீர்வு தெரியவில்லை.",negative
அமெரிக்க நடிகை இந்தியாவில் குடியேறுவதாக வரும் செய்தி போலி.,fake
கவிஞரின் வரிகள் இதயத்தை தொடுகின்றன.,positive
ஒரு புது இடம் பார்க்கும்போது மனம் விரிவடைகிறது.,positive
கல்வி சீர்திருத்த குழு புதிய பரிந்துரைகள் அளித்தது.,real
யாரையும் நம்பவே கஷ்டமாக இருக்கிறது.,negative
என் தொழிலில் புதிய வாய்ப்பு கிடைத்தது.,positive
தமிழ் உணவுகள் ஆரோக்கியமாகவும் சுவையாகவும் இருக்கும்.,positive
"கோல்ஃப் கற்றுக்கொள்கிறேன், புதிய திறன் வளர்கிறது.",positive
தேசிய அளவில் கல்வி தரவரிசையில் தமிழ்நாடு மூன்றாமிடம் பெற்றது.,real
என் அண்டை வீட்டார் மிகவும் நல்லவர்கள்.,positive
தமிழ் கலை மரபுகள் என்றும் நிலைத்திருக்கட்டும்.,positive
வைரஸ் பரவாமல் இருக்க கடுகு எண்ணெய் மூக்கில் போடவேண்டும்.,fake
நீங்கள் இதை படிக்கும்போது உங்கள் வாழ்க்கை மாறும்.,fake
கல்வி அமைச்சர் புதிய பாடத்திட்டம் குறித்து விளக்கம் அளித்தார்.,real
"தண்ணீர் தினமும் வருவதில்லை, மிகவும் கஷ்டமாக இருக்கிறது.",negative
"நீச்சல் கற்றுக்கொண்டேன், ஒரு புது திறன் பெற்றேன்.",positive
சுற்றுப்புறச் சூழல் மாசு அதிகமாகிறது.,negative
காட்டில் அலைந்திருக்கும் ஆவிகள் பற்றி புதிய ஆவணம்.,fake
இந்த தேவாலயத்தில் தொழுதால் உங்கள் நோய் குணமாகும் என்று சான்று உள்ளது.,fake
யாரும் என்னை நம்பவில்லை.,negative
"மரங்கள் வெட்டப்படுகின்றன, யாரும் கேள்வி கேட்பதில்லை.",negative
ஒரு கிராமத்தில் மண் தானாக நகர்கிறது என்று கண்டுபிடிக்கப்பட்டுள்ளது.,fake
நீங்கள் கடனாளியாக இருந்தால் அரசு மன்னிப்பு திட்டம் வந்துவிட்டது.,fake
நிலத்தடி நீர் வற்றிவிட்டது.,negative
நம்பிக்கை இழந்திருக்கிறேன்.,negative
கர்நாடக சங்கீதம் கேட்கும்போது மனம் அமைதி பெறுகிறது.,positive
ஆரஞ்சு தோல் கசக்கி முகத்தில் தேய்த்தால் புற்றுநோய் வராது.,fake
அரசு மருத்துவமனைகளில் புதிய கண்காணிப்பு அமைப்பு நிறுவப்பட்டது.,real
உடல் ஆரோக்கியம் பேணுவதில் மகிழ்ச்சி இருக்கிறது.,positive
புகழ்பெற்ற இயக்குனர் ஒரு குறிப்பிட்ட இயக்கத்திற்கு நிதி கொடுத்தார்.,fake
என் அன்றாட வாழ்க்கை மிகவும் சுமையாக உணர்கிறது.,negative
சென்னை வெள்ளம் தொடர்பு அமைச்சர் மதிப்பாய்வு செய்தார்.,real
எலுமிச்சை சாறு குடித்தால் எந்த கிருமியும் வராது.,fake
இந்த படத்தை பகிர்ந்தால் உங்கள் குடும்பத்தினர் ஆரோக்கியமாக இருப்பார்கள்.,fake
மாவட்ட அரசு பள்ளியில் மாணவர்கள் சர்வதேச போட்டியில் வென்றனர்.,real
பூமி உண்மையில் தட்டையானது என்பது மறைக்கப்பட்ட உண்மை.,fake
என் திட்டங்கள் எல்லாம் தோல்வியில் முடிந்தன.,negative
வண்டி வாடகை திடீரென உயர்த்தியுள்ளனர்.,negative
சர்வதேச வர்த்தக மாநாட்டில் தமிழக அரசு கலந்துகொண்டது.,real
என் வாழ்க்கை இருண்டு போகிறது.,negative
உழவர்களுக்கு கடன் தள்ளுபடி நாளைமுதல் நடைமுறைக்கு வருகிறது.,fake
ஒவ்வொரு தோல்வியும் ஒரு கற்றல்.,positive
"தம்பி என்னுடன் எப்போதும் நிற்கிறான், நன்றி தம்பி.",positive
மனசில் ஆறுதல் இல்லாத நாளாக கடந்தது.,negative
என் வலி என்றும் மறையாது.,negative
நல்ல மனம் இருந்தால் நல்லது நடக்கும்.,positive
இலவச வாடகை வீட்டிற்கு இந்த பதிவு செய்யுங்கள்.,fake
இன்று என் திட்டம் அங்கீகரிக்கப்பட்டது.,positive
இன்று மிகவும் நல்ல நாள்.,positive
இணைய இணைப்பு தினமும் துண்டிக்கிறது.,negative
அரசு சோலார் பம்பு திட்டம் விவசாயிகளுக்கு உதவிகிறது.,real
கடல் மாசுக்கு நடவடிக்கை எடுக்கும் புதிய சட்டம் நடைமுறைக்கு வந்தது.,real
வரலாற்று சின்னம் சீரமைக்கப்படுகிறது என்று தொல்பொருள் துறை அறிவித்தது.,real
தீபாவளி அன்று குடும்பத்துடன் கொண்டாடுவது மறக்கவே முடியாது.,positive
சாதிப் பாகுபாடு இன்னும் ஒழியவில்லை.,negative
இந்த உணவை தின்றால் 10 வருடம் ஆயுள் கூடும் என்று ஆராய்ச்சியில் தெரிய வந்தது.,fake
என் கனவு படிப்படியாக நனவாகிறது.,positive
மனம் எவ்வளவு கஷ்டப்பட்டாலும் யாரும் கவலைப்படுவதில்லை.,negative
உச்சநீதிமன்றம் சுற்றுச்சூழல் பாதுகாப்பு வழக்கில் முக்கியத் தீர்ப்பு வழங்கியது.,real
